ProviderName,CONN_CONFIG,RegionName,RegionLocation,DriverLibFileName,DriverName
GCP,gcp-as-ne1,gcp-asia-northeast1,Tokyo Japan [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-ne2,gcp-asia-northeast2,Osaka Japan [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-ne3,gcp-asia-northeast3,Seoul South Korea [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-us-west4,gcp-us-west4,Las Vegas USA [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-se1,gcp-asia-southeast1,Jurong West Singapore [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-aust-se1,gcp-australia-southeast1,Sydney Australia [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-eu-north1,gcp-europe-north1,Hamina Finland [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-eu-west1,gcp-europe-west1,St. Ghislain Belgium [zone:b],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-eu-west2,gcp-europe-west2,London England  UK [zone:b],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-eu-west4,gcp-europe-west4,Eemshaven Netherlands [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-eu-west6,gcp-europe-west6,Zurich Switzerland [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-n-ameri-ne1,gcp-northamerica-northeast1,Montreal Quebec Canada [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-s-ameri-e1,gcp-southamerica-east1,Osasco (Sao Paulo)  Brazil [zone:e],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-us-cent1,gcp-us-central1,Council Bluffs Iowa  USA [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-us-east1,gcp-us-east1,Moncks Corner South Carolina USA [zone:b],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-us-east4,gcp-us-east4,Ashburn Northern Virginia USA [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-us-west1,gcp-us-west1,Dalles Oregon USA [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-us-west2,gcp-us-west2,LA California USA [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-us-west3,gcp-us-west3,Salt Lake City Utah USA [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-south1,gcp-asia-south1,Mumbai India [zone:b],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-se2,gcp-asia-southeast2,Jakarta, Indonesia [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-eu-cent2,gcp-europe-central2,Warsaw, Poland [zone:a],gcp-driver-v1.0.so,gcp-driver01
ALIBABA,ali-ap-ne-1,alibaba-ap-northeast-1,Japan (Tokyo),alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-ap-south-1,alibaba-ap-south-1,Mumbai Zone A,alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-ap-southeast-1,alibaba-ap-southeast-1,Singapore [zone:c],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-ap-se-2,alibaba-ap-southeast-2,Australia (Sydney) [zone:a],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-ap-se-3,alibaba-ap-southeast-3,Malaysia (Kuala Lumpur) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-ap-se-5,alibaba-ap-southeast-5,Indonesia (Jakarta) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-us-west-1,alibaba-us-west-1,US (Silicon Valley) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-us-east-1,alibaba-us-east-1,US (Virginia) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-eu-ct-1,alibaba-eu-central-1,Germany (Frankfurt) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-eu-west-1,alibaba-eu-west-1,UK (London) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-me-east-1,alibaba-me-east-1,UAE (Dubai) [zone:a],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-hongkong,alibaba-cn-hongkong,China (Hong Kong) [zone:c],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-shanghai,alibaba-cn-shanghai,China (Shanghai) [zone:g],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-beijing,alibaba-cn-beijing,China (Beijing) [zone:h],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-qingdao,alibaba-cn-qingdao,China (Qingdao) [zone:c],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-zhangjk,alibaba-cn-zhangjiakou,China (Zhangjiakou) [zone:c],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-huheht,alibaba-cn-huhehaote,China (Hohhot) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-hangz,alibaba-cn-hangzhou,China (HohHangzhouhot) [zone:h],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-shenz,alibaba-cn-shenzhen,China (Shenzhen) [zone:e],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-heyuan,alibaba-cn-heyuan,China (Heyuan) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-chengd,alibaba-cn-chengdu,China (Chengdu) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-wulanch,alibaba-cn-wulanchabu,China (Ulanqab) [zone:c],alibaba-driver-v1.0.so,alibaba-driver01
ALIBABA,ali-cn-guangz,alibaba-cn-guangzhou,China (Guangzhou) [zone:b],alibaba-driver-v1.0.so,alibaba-driver01
OPENSTACK,os-region01,openstack-region01,Korea Daejeon (Internal),openstack-driver-v1.0.so,openstack-driver01
