,alibaba-ap-south-1,alibaba-ap-southeast-2,alibaba-ap-southeast-3,alibaba-ap-southeast-5,alibaba-cn-chengdu,alibaba-cn-huhehaote,alibaba-cn-qingdao,alibaba-cn-zhangjiakou,alibaba-eu-central-1,alibaba-eu-west-1,alibaba-me-east-1,alibaba-us-east-1,alibaba-us-west-1,aws-af-south-1,aws-ap-east-1,aws-ap-northeast-1,aws-ap-northeast-2,aws-ap-northeast-3,aws-ap-south-1,aws-ap-southeast-1,aws-ap-southeast-2,aws-ca-central-1,aws-eu-central-1,aws-eu-north-1,aws-eu-south-1,aws-eu-west-1,aws-eu-west-2,aws-eu-west-3,aws-me-south-1,aws-sa-east-1,aws-us-east-1,aws-us-east-2,aws-us-west-1,aws-us-west-2,azure-australiacentral,azure-australiaeast,azure-australiasoutheast,azure-brazilsouth,azure-canadacentral,azure-canadaeast,azure-centralindia,azure-centralus,azure-eastasia,azure-eastus2,azure-francecentral,azure-germanywestcentral,azure-japaneast,azure-japanwest,azure-koreacentral,azure-koreasouth,azure-northcentralus,azure-northeurope,azure-norwayeast,azure-southafricanorth,azure-southcentralus,azure-southeastasia,azure-southindia,azure-switzerlandnorth,azure-uaenorth,azure-uksouth,azure-ukwest,azure-westcentralus,azure-westeurope,azure-westus2,gcp-asia-east1,gcp-asia-east2,gcp-asia-northeast1,gcp-asia-northeast2,gcp-asia-northeast3,gcp-asia-south1,gcp-asia-southeast1,gcp-asia-southeast2,gcp-australia-southeast1,gcp-europe-central2,gcp-europe-north1,gcp-europe-west1,gcp-europe-west2,gcp-europe-west3,gcp-europe-west4,gcp-europe-west6,gcp-northamerica-northeast1,gcp-southamerica-east1,gcp-us-central1,gcp-us-east1,gcp-us-east4,ibm-au-syd,ibm-br-sao,ibm-ca-tor,ibm-eu-de,ibm-eu-gb,ibm-jp-osa,ibm-jp-tok,ibm-us-east,ibm-us-south,tencent-ap-bangkok,tencent-ap-beijing,tencent-ap-chengdu,tencent-ap-chongqing,tencent-ap-guangzhou,tencent-ap-hongkong,tencent-ap-jakarta,tencent-ap-mumbai,tencent-ap-nanjing,tencent-ap-seoul,tencent-ap-singapore,tencent-ap-tokyo,tencent-eu-frankfurt,tencent-na-ashburn,tencent-na-siliconvalley,tencent-na-toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-me-east-1,161.888,414.097,92.094,276.668,227.736,349.081,202.618,358.818,135.216,192.735,0.236,188.320,401.906,214.383,123.342,151.207,155.013,158.143,31.946,82.338,174.546,360.328,133.465,138.620,149.022,131.007,119.416,120.487,17.330,325.117,208.913,362.299,245.716,266.630,166.188,163.583,161.196,295.056,202.885,211.057,32.475,220.624,110.754,188.634,113.645,117.674,148.122,153.065,142.918,138.272,211.201,125.901,137.299,259.607,219.621,80.789,79.517,110.898,5.122,116.619,119.583,236.550,120.456,255.502,135.970,125.770,171.096,155.845,146.375,27.122,99.814,101.552,178.375,128.493,145.502,118.217,122.239,113.583,119.845,108.102,195.855,303.852,212.149,205.524,190.933,404.974,309.409,202.161,138.387,139.089,268.428,257.713,194.680,239.654,106.885,166.717,168.697,159.995,125.296,118.468,94.788,143.393,149.065,300.279,83.295,153.834,147.811,205.213,251.687,205.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-us-east-1,316.288,338.831,264.707,276.994,259.013,228.227,250.700,212.149,97.721,87.156,188.281,0.631,69.354,221.968,220.274,173.516,201.933,177.292,246.383,242.338,228.456,14.404,90.066,112.229,97.382,86.577,79.332,85.461,154.880,113.631,2.053,12.234,64.985,70.096,226.306,220.095,226.674,119.923,20.150,24.260,240.871,49.461,212.388,5.680,79.568,87.838,161.748,172.271,190.231,184.592,21.331,76.613,106.009,241.683,37.157,233.900,253.616,95.473,190.905,76.623,79.348,44.719,87.722,64.867,174.170,185.823,146.610,156.950,175.317,213.803,240.461,238.328,193.471,101.700,103.113,81.142,77.098,87.333,87.868,93.773,15.178,115.244,24.861,14.144,2.141,206.891,119.987,20.476,87.258,76.073,163.963,156.045,3.164,30.414,249.735,216.466,256.605,280.297,220.180,233.814,244.184,181.243,197.860,233.539,233.500,164.994,87.017,0.938,71.023,16.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-us-west-1,250.186,215.394,188.751,198.882,203.324,159.584,148.357,149.106,140.872,154.422,402.365,69.356,0.221,276.894,150.360,107.835,134.055,106.635,248.553,165.974,144.502,107.467,146.178,170.919,172.534,147.853,137.557,142.655,212.669,187.951,61.666,70.742,2.288,21.290,143.669,139.056,150.142,172.438,85.824,95.143,242.882,39.878,150.120,63.848,148.569,156.427,106.180,112.922,130.303,123.470,51.048,134.769,167.997,305.185,40.547,172.332,205.606,162.625,255.020,139.847,146.295,25.524,149.190,23.669,135.466,147.494,108.528,115.812,134.867,232.290,183.795,192.299,145.352,169.998,169.334,148.736,142.835,154.681,151.163,159.958,75.961,162.700,47.632,70.751,69.490,152.784,192.469,62.886,147.923,138.667,106.989,103.469,69.893,42.280,194.589,146.161,184.224,174.778,162.370,155.760,208.530,228.438,180.613,133.565,179.411,121.980,149.615,73.775,1.663,54.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-af-south-1,269.810,440.797,320.014,406.826,318.550,292.788,309.742,354.156,158.315,142.950,214.350,222.018,276.909,0.145,255.993,351.978,381.365,354.210,153.675,215.020,411.612,225.439,156.113,174.128,166.711,156.784,146.284,147.555,141.318,342.838,228.068,238.309,288.590,275.208,347.798,342.864,341.595,330.955,236.910,243.336,224.952,250.228,289.104,225.383,153.888,161.751,327.810,333.535,327.908,317.826,241.642,160.741,171.876,18.011,250.688,260.342,264.024,170.247,202.574,149.652,149.478,266.009,153.568,289.534,404.536,380.237,374.250,379.477,398.431,224.903,353.769,359.339,425.568,185.534,196.987,165.507,157.764,171.261,165.098,170.678,237.272,346.109,255.730,244.535,232.632,406.827,335.684,226.457,159.378,143.339,396.902,380.176,215.004,256.978,339.576,312.416,380.755,345.338,350.378,325.309,411.399,269.850,326.682,424.009,392.874,379.301,156.263,217.435,285.944,231.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-ap-east-1,101.245,153.917,46.968,53.974,125.026,137.479,115.590,127.008,242.385,193.770,123.317,220.278,150.344,256.034,0.243,53.376,38.765,49.004,105.487,38.902,134.032,194.295,201.616,211.843,193.801,217.953,208.480,201.584,140.211,304.895,195.128,182.165,154.896,144.820,130.988,123.739,119.763,323.353,207.900,210.061,89.735,178.178,2.567,206.583,184.003,188.960,47.151,44.678,40.696,40.798,195.402,195.461,208.189,329.294,172.669,36.313,69.507,182.389,109.738,186.429,190.190,167.386,189.486,145.715,15.582,1.916,48.837,53.012,36.767,91.221,37.130,48.701,129.815,257.521,273.923,250.988,244.108,234.037,261.093,236.680,193.082,295.022,171.725,202.382,188.792,127.046,321.332,202.934,192.474,250.568,57.894,44.987,207.704,184.580,58.247,280.608,303.420,302.584,257.359,1.842,48.641,96.044,272.875,38.198,41.927,54.915,186.492,219.680,154.640,203.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-ap-northeast-1,135.886,120.932,80.030,98.828,104.557,122.079,98.764,101.192,238.713,236.079,151.314,173.514,107.874,352.013,53.357,0.353,34.223,8.022,127.211,83.738,101.645,143.433,222.055,240.138,214.196,200.248,208.539,215.477,177.265,255.422,144.048,133.066,106.914,96.344,129.223,122.292,134.814,279.637,158.807,162.660,120.646,134.476,50.898,155.675,210.874,216.652,5.113,9.065,25.948,20.282,143.055,229.386,238.563,358.903,124.816,69.653,103.127,211.598,142.657,217.908,218.618,120.498,221.895,98.343,36.848,50.277,3.596,10.624,33.307,132.292,81.583,94.084,121.574,245.981,248.731,225.426,216.953,236.152,226.549,239.808,149.856,253.119,148.129,163.348,150.622,116.222,267.333,164.889,254.003,239.250,8.665,3.305,165.312,145.319,99.658,81.146,115.495,114.844,92.900,55.399,90.773,135.108,78.841,33.519,76.596,3.977,236.898,171.828,106.507,156.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-ap-northeast-2,137.687,162.254,76.141,87.544,140.540,163.393,165.310,148.213,280.294,233.017,155.002,201.993,134.078,381.343,38.760,34.243,0.190,28.268,130.351,73.190,148.356,170.975,237.214,247.923,223.007,229.143,237.311,243.582,198.871,284.106,170.653,160.460,135.553,125.512,158.785,153.036,156.043,303.183,184.059,193.910,137.135,161.571,73.671,184.577,219.581,223.426,29.975,29.108,3.272,8.300,167.318,229.163,243.766,364.658,158.888,71.164,104.097,219.665,146.967,221.169,226.634,146.416,227.607,124.899,51.459,74.520,35.449,32.912,3.794,127.379,72.549,85.057,161.907,274.468,277.363,251.466,244.594,264.416,251.168,266.548,178.984,283.004,176.108,190.568,178.747,161.445,297.686,181.372,243.844,268.270,28.673,34.968,192.095,177.432,107.791,156.655,154.966,146.008,121.291,87.832,86.285,140.220,108.748,4.018,68.010,33.423,222.798,201.515,137.421,188.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-ap-northeast-3,126.273,170.783,74.106,88.339,135.777,154.594,143.010,151.503,250.072,239.276,158.180,177.289,106.653,354.225,49.002,8.042,28.280,0.343,124.815,77.366,112.729,149.150,228.244,242.862,217.359,205.779,214.782,219.848,156.582,260.395,151.496,137.218,108.544,97.953,146.504,146.913,146.283,286.523,161.022,173.355,139.059,141.423,51.675,161.574,216.905,224.675,10.082,16.504,30.592,29.873,151.878,236.778,239.824,362.296,131.214,71.544,109.132,221.328,150.777,226.291,222.345,126.260,226.896,105.323,35.009,49.692,9.361,2.488,28.315,131.946,74.587,86.558,144.002,257.536,255.095,231.043,222.670,240.847,232.355,247.109,159.450,259.822,151.128,168.711,152.795,152.408,278.611,172.195,229.216,257.456,1.297,8.699,152.383,154.717,99.875,111.733,118.106,125.035,98.078,57.372,84.738,135.532,100.119,28.634,73.493,10.071,225.974,177.870,111.766,164.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-ap-south-1,2.239,277.879,63.503,83.055,135.082,145.197,135.164,134.480,118.609,267.624,31.957,246.457,248.547,153.690,105.523,127.206,130.360,124.828,0.342,54.839,144.822,188.743,114.721,134.003,109.164,122.164,110.130,105.709,33.495,303.216,186.609,198.809,226.446,225.712,165.452,150.466,146.493,306.836,212.409,223.847,4.598,231.536,99.124,202.308,128.194,121.203,136.742,129.999,131.901,141.788,223.679,137.177,141.678,269.199,225.597,68.557,34.290,114.961,29.258,136.784,132.816,245.692,127.280,223.827,122.809,91.143,128.601,122.106,131.072,2.672,60.556,73.185,154.371,138.295,157.272,132.356,133.748,123.585,129.967,127.194,214.398,318.922,235.264,222.552,204.499,250.782,328.835,209.154,116.187,126.288,125.813,226.020,211.851,235.451,88.627,333.229,414.100,352.831,367.382,137.534,73.462,2.590,352.295,140.922,57.954,128.049,117.393,247.452,246.960,261.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-ap-southeast-1,54.986,98.292,7.987,15.296,76.497,85.155,88.438,83.422,160.009,289.661,82.333,242.334,166.160,215.026,38.779,83.684,73.162,77.326,54.723,0.215,92.051,211.979,155.593,175.670,148.640,179.653,169.964,163.355,118.835,320.154,208.711,196.207,178.887,161.469,93.749,88.583,83.865,342.802,223.046,228.841,82.559,204.630,32.539,216.721,148.941,152.993,69.082,80.162,73.510,73.481,213.215,163.881,174.200,294.194,190.974,1.762,34.603,147.577,76.469,151.847,156.959,185.762,155.048,173.188,45.427,37.142,80.429,75.727,75.710,61.120,1.625,14.126,94.835,222.525,230.670,194.609,201.463,191.938,203.614,193.321,227.746,327.438,202.677,231.789,216.771,146.067,343.786,222.495,222.209,306.367,71.910,68.463,220.042,220.857,30.332,213.654,237.913,227.032,203.038,41.093,13.261,59.365,197.364,81.203,1.803,67.830,285.507,241.858,175.761,224.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-ap-southeast-2,151.083,2.234,98.806,107.343,166.846,192.386,171.441,164.172,290.375,272.619,174.433,228.749,144.990,412.232,134.018,101.778,148.370,112.720,144.844,92.113,0.353,197.315,247.423,292.645,238.854,256.772,263.374,277.719,195.260,310.411,198.283,187.794,137.879,139.551,7.355,2.722,13.494,310.749,211.629,219.465,154.687,180.005,124.710,201.077,258.103,267.101,112.938,119.471,147.357,146.867,194.707,258.386,283.941,380.310,169.048,90.433,123.791,263.074,163.316,261.537,262.727,165.640,262.211,150.462,147.257,128.408,111.251,123.601,147.624,152.583,92.959,106.150,2.685,303.260,303.286,281.771,272.283,289.991,284.570,294.175,209.830,295.785,184.393,203.627,203.877,1.813,330.490,200.942,265.928,268.785,123.573,107.570,210.231,172.310,120.437,238.799,256.491,240.887,241.919,173.209,105.677,150.090,222.838,148.228,94.342,114.701,287.224,228.209,149.115,201.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-ca-central-1,264.544,225.768,265.998,287.529,263.445,242.899,243.623,238.415,91.070,84.456,358.018,14.389,107.461,225.458,194.742,143.521,170.977,149.204,188.805,211.833,197.183,0.555,88.724,106.262,101.457,68.585,78.085,83.964,158.364,124.880,15.094,24.841,80.095,59.076,219.805,215.027,225.550,127.948,9.292,5.304,212.707,71.433,219.562,27.974,91.484,98.530,170.800,175.182,194.070,184.678,21.873,78.071,113.238,250.927,52.165,238.007,252.622,102.917,200.980,85.356,89.373,57.366,91.893,79.195,192.869,205.002,167.333,173.859,190.875,218.374,233.561,255.789,208.617,103.463,116.182,82.529,78.396,89.814,86.723,94.942,2.110,129.045,29.745,34.290,16.231,220.570,149.379,8.534,99.494,89.784,168.577,169.330,20.900,44.355,287.067,298.687,296.381,326.177,289.368,225.558,257.861,306.459,298.643,202.951,249.023,192.291,100.376,14.505,74.060,28.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-eu-central-1,134.608,306.822,169.100,253.001,165.152,138.051,169.246,185.331,2.158,17.246,133.446,90.097,146.195,156.088,201.673,222.011,237.210,228.555,114.727,155.555,247.253,88.880,0.420,21.610,11.621,24.406,16.938,10.477,83.637,205.558,91.114,101.306,151.233,139.480,259.660,257.708,253.397,194.505,102.526,113.808,137.843,122.337,205.002,91.802,10.454,2.628,238.537,247.206,238.919,229.037,111.823,24.098,22.534,172.267,117.389,174.018,158.035,10.965,117.972,18.564,20.574,136.017,9.980,156.136,247.463,231.611,232.586,242.477,255.085,131.943,202.808,213.869,278.479,16.362,30.873,11.313,16.015,1.930,9.108,7.404,90.693,201.696,109.707,101.324,90.307,262.686,199.470,93.795,16.242,13.943,247.611,234.578,88.400,123.917,200.469,161.691,282.640,222.674,200.014,161.951,266.200,120.510,219.363,278.051,255.319,251.901,1.828,94.253,157.469,102.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-eu-north-1,146.572,319.989,189.206,274.313,193.635,197.531,196.784,205.083,22.127,32.885,138.476,112.196,171.633,174.167,211.751,240.094,247.960,242.830,133.788,175.652,292.597,106.173,21.437,0.551,31.246,42.411,31.725,30.121,103.580,213.780,110.777,121.184,174.554,155.899,280.923,278.289,273.256,209.194,118.264,126.808,156.049,137.561,223.154,108.168,30.499,22.019,258.046,267.677,260.595,253.046,125.487,40.923,13.140,190.335,134.979,194.935,201.512,31.069,138.673,30.277,31.957,147.376,21.385,170.466,272.956,252.188,241.667,253.250,271.476,160.695,220.527,238.218,292.729,33.718,11.014,30.626,33.292,24.399,24.424,28.433,109.637,214.408,123.549,115.074,101.640,282.426,221.849,111.676,32.440,33.440,268.457,269.683,104.319,144.154,202.919,205.133,292.309,256.845,253.448,181.612,283.855,136.586,221.342,293.734,277.826,265.098,21.764,108.698,165.264,118.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-eu-south-1,129.155,314.906,170.342,277.236,171.822,147.483,174.679,194.437,11.915,25.864,149.020,96.908,171.924,166.730,193.834,214.273,219.116,217.529,109.206,148.658,238.881,101.487,11.951,31.181,0.134,33.553,23.828,20.308,76.021,215.388,101.490,111.504,161.696,149.653,231.314,229.834,227.413,204.910,111.293,121.524,127.259,130.911,177.430,102.432,19.826,11.883,208.173,219.212,212.060,202.664,120.382,34.522,36.000,165.293,124.923,146.378,163.721,6.206,106.182,24.461,27.902,148.563,19.298,167.086,245.728,233.274,238.971,252.784,262.997,122.461,209.358,214.049,286.416,25.888,43.503,20.506,25.590,11.730,18.469,5.885,98.099,210.578,119.996,110.558,98.660,263.710,199.760,104.223,23.057,23.917,246.728,240.185,104.484,133.797,215.200,235.041,290.052,279.828,284.911,183.915,280.806,115.011,217.185,281.237,268.921,255.573,11.348,97.642,167.935,127.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-eu-west-1,133.641,309.502,185.238,266.091,218.343,203.890,194.834,177.066,26.584,13.931,130.921,86.624,148.040,156.797,217.968,200.210,228.987,205.775,122.142,179.725,256.786,68.766,24.415,42.796,33.575,0.470,11.357,18.088,93.378,175.662,65.427,77.136,135.629,118.664,270.053,266.477,265.260,171.305,80.326,89.570,148.392,99.955,212.535,71.123,16.547,25.261,254.330,254.471,246.404,241.197,87.616,1.612,39.524,172.573,98.174,183.412,176.340,33.427,125.223,12.182,14.590,112.684,17.558,132.960,255.397,241.207,224.133,235.615,250.522,151.379,209.795,224.496,272.794,38.389,46.525,19.827,11.097,23.108,20.177,27.652,85.516,199.671,105.559,99.259,86.567,271.782,211.340,92.992,24.516,11.218,256.275,250.802,83.765,120.977,209.095,165.696,224.998,208.121,225.484,194.163,277.994,134.744,195.762,273.171,260.947,258.875,24.222,87.861,154.434,98.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-eu-west-2,124.996,296.253,182.225,252.718,202.248,192.060,168.577,135.811,16.729,3.209,119.400,79.075,137.464,146.362,208.362,208.373,236.288,214.322,110.076,169.995,263.381,78.178,16.954,31.727,23.861,11.372,0.342,9.278,84.889,185.652,76.381,85.975,144.649,127.326,261.770,259.692,255.943,182.430,90.654,99.725,140.125,108.159,204.697,80.623,8.928,15.001,238.110,249.734,239.871,232.384,98.594,12.938,29.403,170.325,106.637,176.420,165.718,26.611,118.374,2.786,5.239,117.426,11.504,143.206,255.123,235.166,215.842,228.991,244.785,143.495,205.248,212.259,263.828,29.269,38.886,10.129,2.338,16.310,11.162,18.821,77.078,191.019,95.715,90.494,78.056,268.648,204.363,80.225,15.056,3.012,244.151,242.982,76.117,112.074,195.518,155.290,238.691,246.146,215.181,190.865,261.794,126.956,204.257,268.328,252.707,263.452,15.778,77.915,139.314,90.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-eu-west-3,131.942,294.226,175.446,251.422,187.011,184.702,162.201,167.102,11.216,11.557,120.511,85.085,142.662,147.578,201.511,215.519,243.594,219.827,105.663,163.422,277.735,83.787,10.415,30.090,20.318,18.101,9.251,0.356,76.853,196.803,82.420,92.636,142.773,131.883,254.093,251.536,249.330,186.800,94.638,103.418,132.552,112.015,201.808,85.424,2.038,10.327,234.400,240.832,233.514,226.751,104.620,17.332,32.643,165.317,110.134,164.299,159.202,18.623,109.493,8.392,10.640,127.680,12.136,146.190,251.569,241.300,225.779,232.861,248.524,136.827,198.567,211.255,270.253,24.902,35.557,5.334,9.813,11.018,14.908,13.721,85.133,194.591,101.796,94.481,81.978,270.564,207.850,93.560,11.327,16.264,248.331,239.099,87.858,125.778,193.995,156.680,234.721,211.358,208.960,162.059,255.516,129.061,203.828,278.610,240.688,231.080,10.659,84.533,148.657,95.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-me-south-1,33.528,371.459,170.888,272.636,271.033,261.402,253.383,210.503,84.493,85.368,15.077,154.845,212.653,141.283,140.169,177.215,198.877,156.636,33.443,118.829,195.293,158.327,83.522,103.754,76.022,93.235,84.878,76.813,0.170,273.918,158.186,168.925,217.769,210.962,173.146,172.648,164.446,282.234,195.518,199.410,36.453,209.042,114.470,179.648,102.020,104.854,149.852,157.124,151.212,141.019,198.899,114.599,126.853,195.252,209.661,84.193,57.667,99.106,12.544,103.093,106.998,222.603,107.870,245.989,153.789,137.544,183.233,179.817,171.443,38.878,105.782,118.215,201.289,115.799,130.073,103.769,105.607,102.667,108.533,96.200,178.199,291.300,199.752,190.207,177.862,354.241,282.555,169.850,94.871,108.443,245.252,222.275,174.966,198.347,262.045,228.881,312.104,306.031,280.666,226.655,278.341,39.052,282.054,256.695,248.633,246.406,84.000,154.217,222.286,172.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
